2026-03-19 12:39:36 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.021880  |  psnr: 30.424619  |  ssim: 0.788476
2026-03-19 12:43:27 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: 0.024996  |  psnr: 25.531940  |  ssim: 0.758298
2026-03-19 12:43:27 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: 0.024232  |  psnr: 26.072336  |  ssim: 0.764761
2026-03-19 12:46:28 | INFO     | srcnn_training | Epoch 0016 [TRAIN]  |  loss: 0.022897  |  psnr: 25.748169  |  ssim: 0.782246
2026-03-19 12:46:28 | INFO     | srcnn_training | Epoch 0016 [VAL]  |  loss: 0.016051  |  psnr: 35.889260  |  ssim: 0.852449
2026-03-19 12:48:30 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: 0.023597  |  psnr: 26.582611  |  ssim: 0.776155
2026-03-19 12:48:30 | INFO     | srcnn_training | Epoch 0020 [VAL]  |  loss: 0.027096  |  psnr: 24.760630  |  ssim: 0.747044
2026-03-19 12:50:45 | INFO     | srcnn_training | Epoch 0030 [TRAIN]  |  loss: 0.023557  |  psnr: 25.759923  |  ssim: 0.777973
2026-03-19 12:50:45 | INFO     | srcnn_training | Epoch 0030 [VAL]  |  loss: 0.022613  |  psnr: 25.746372  |  ssim: 0.790560
2026-03-19 13:27:27 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.154645  |  psnr: 40.041283  |  ssim: 0.802494
2026-03-19 13:27:27 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.001768  |  psnr: 48.613912  |  ssim: 0.987121
2026-03-19 13:27:44 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.002021  |  psnr: 47.562317  |  ssim: 0.980030
2026-03-19 13:27:44 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.001568  |  psnr: 49.567702  |  ssim: 0.989187
2026-03-19 13:27:59 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.002274  |  psnr: 46.131887  |  ssim: 0.975384
2026-03-19 13:27:59 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.001445  |  psnr: 51.516685  |  ssim: 0.990674
2026-03-19 13:40:18 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.154645  |  psnr: 40.041283  |  ssim: 0.802494
2026-03-19 13:40:18 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.001768  |  psnr: 48.613912  |  ssim: 0.987121
